category,prompt_structured,H_p_structured,H_p_noise,H_p_gap,d_eff_structured,d_eff_noise,d_eff_delta
creative,"In a world where shadows could speak, th",3.5214977264404297,3.5232677459716797,0.00177001953125,3.0461649894714355,3.527388334274292,-0.48122334480285645
creative,"In a world where shadows could speak, th",5.4564924240112305,5.465689659118652,0.009197235107421875,4.520323753356934,4.468357086181641,0.05196666717529297
creative,"In a world where shadows could speak, th",1.9467201232910156,1.9738355875015259,0.027115464210510254,2.4915318489074707,2.6820201873779297,-0.19048833847045898
creative,"In a world where shadows could speak, th",5.816048622131348,5.834468841552734,0.01842021942138672,4.806805610656738,4.211696624755859,0.5951089859008789
creative,"In a world where shadows could speak, th",3.395188331604004,3.391169548034668,0.0040187835693359375,3.076904058456421,3.751887321472168,-0.6749832630157471
creative,"In a world where shadows could speak, th",3.7240607738494873,3.728605270385742,0.004544496536254883,3.7384204864501953,3.351943016052246,0.3864774703979492
creative,"In a world where shadows could speak, th",1.9333657026290894,1.9738355875015259,0.04046988487243652,1.5720773935317993,2.6820201873779297,-1.1099427938461304
creative,"In a world where shadows could speak, th",3.360564708709717,3.391169548034668,0.030604839324951172,3.010373115539551,3.751887321472168,-0.7415142059326172
creative,"In a world where shadows could speak, th",6.944948196411133,6.935274600982666,0.009673595428466797,5.000316619873047,5.0183820724487305,-0.018065452575683594
creative,"In a world where shadows could speak, th",5.756937026977539,5.752268314361572,0.004668712615966797,4.506474018096924,4.306926727294922,0.19954729080200195
creative,"In a world where shadows could speak, th",3.9305009841918945,3.926921844482422,0.0035791397094726562,3.4255809783935547,3.626403570175171,-0.2008225917816162
creative,"In a world where shadows could speak, th",2.576446533203125,2.5264248847961426,0.05002164840698242,2.698734760284424,2.6424567699432373,0.05627799034118652
creative,"In a world where shadows could speak, th",4.286149978637695,4.2809038162231445,0.005246162414550781,3.716867446899414,3.7843008041381836,-0.06743335723876953
creative,She opened the ancient book and the page,5.679116249084473,5.683199882507324,0.0040836334228515625,4.793003559112549,4.555359363555908,0.23764419555664062
creative,She opened the ancient book and the page,1.6783744096755981,1.7079871892929077,0.02961277961730957,1.761040449142456,2.6963815689086914,-0.9353411197662354
creative,She opened the ancient book and the page,4.34454870223999,4.323042869567871,0.02150583267211914,3.777214765548706,3.7104170322418213,0.06679773330688477
creative,She opened the ancient book and the page,1.6302707195281982,1.6353851556777954,0.005114436149597168,2.298818588256836,1.575701117515564,0.723117470741272
creative,She opened the ancient book and the page,2.525207281112671,2.5264248847961426,0.0012176036834716797,2.4689626693725586,2.6424567699432373,-0.1734941005706787
creative,She opened the ancient book and the page,5.167204856872559,5.201921463012695,0.03471660614013672,4.3114776611328125,4.026907920837402,0.28456974029541016
creative,She opened the ancient book and the page,2.9661316871643066,2.968514919281006,0.0023832321166992188,3.0790276527404785,3.479839324951172,-0.40081167221069336
creative,She opened the ancient book and the page,0.10182075202465057,0.11078338325023651,0.008962631225585938,1.4802522659301758,0.4980185031890869,0.9822337627410889
creative,She opened the ancient book and the page,1.1856739521026611,1.1537785530090332,0.03189539909362793,2.493621826171875,1.4972448348999023,0.9963769912719727
creative,She opened the ancient book and the page,1.397193193435669,1.3783774375915527,0.01881575584411621,1.6353657245635986,3.251586675643921,-1.6162209510803223
creative,She opened the ancient book and the page,0.9874866008758545,0.8886154890060425,0.09887111186981201,1.9239015579223633,0.7564822435379028,1.1674193143844604
creative,She opened the ancient book and the page,2.1512575149536133,2.0921058654785156,0.059151649475097656,2.309999942779541,3.168888568878174,-0.8588886260986328
creative,She opened the ancient book and the page,3.376636505126953,3.391169548034668,0.014533042907714844,3.2055273056030273,3.751887321472168,-0.5463600158691406
creative,The last painter on Earth mixed colors t,8.08064079284668,8.030529022216797,0.05011177062988281,5.565731525421143,4.849675178527832,0.7160563468933105
creative,The last painter on Earth mixed colors t,6.052358627319336,6.060896873474121,0.008538246154785156,4.6320061683654785,4.539695739746094,0.09231042861938477
creative,The last painter on Earth mixed colors t,4.165193557739258,4.154016971588135,0.011176586151123047,3.8228647708892822,3.3635644912719727,0.45930027961730957
creative,The last painter on Earth mixed colors t,3.997279644012451,4.004114151000977,0.006834506988525391,3.7821977138519287,3.679511547088623,0.10268616676330566
creative,The last painter on Earth mixed colors t,4.705658435821533,4.703701972961426,0.001956462860107422,3.8857133388519287,3.9664998054504395,-0.08078646659851074
creative,The last painter on Earth mixed colors t,3.767575979232788,3.7426233291625977,0.02495265007019043,3.811798095703125,3.728144645690918,0.08365345001220703
creative,The last painter on Earth mixed colors t,4.313222408294678,4.3164286613464355,0.0032062530517578125,4.040375709533691,3.883586883544922,0.15678882598876953
creative,The last painter on Earth mixed colors t,1.4370421171188354,1.3783774375915527,0.058664679527282715,1.5357011556625366,3.251586675643921,-1.7158855199813843
creative,"Deep beneath the ocean, where pressure c",5.996940612792969,5.996196746826172,0.000743865966796875,4.139832496643066,4.527281284332275,-0.387448787689209
creative,"Deep beneath the ocean, where pressure c",3.276740074157715,3.2798023223876953,0.0030622482299804688,2.6980834007263184,3.1318702697753906,-0.43378686904907227
creative,"Deep beneath the ocean, where pressure c",1.330634593963623,1.3783774375915527,0.04774284362792969,1.5554653406143188,3.251586675643921,-1.696121335029602
